name|key
electricity voltage transformation from medium to low voltage|3cde58c97796e8cc5928e3a60bd2ffc9
heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas|3458f743735afc6ea0c41cea29b743c7
clinker production|d01122fdbe4d06c8d53356c8f6b193d8
treatment of waste aluminium, sanitary landfill|f687ddfe8827d42c3a79d1c34e0e587f
cement production, pozzolana and fly ash 36-55%|43eaff5f2a82b9ccec6fa197a98a3eb3
jute production, irrigated|cb425fd0f3a23abf76096e3e05d15916
market for municipal solid waste|bd677dae3f4949cba53cb2c4e838b142
nuclear waste storage construction, final repository for high level radioactive waste|f10e62490603c8309b985d8efeced4e1
market for electricity, high voltage, aluminium industry|22a35398436d070629bf730a70313975
treatment of blast furnace gas, in power plant|3c7d6bf0db143d035cc11be7aa2553d4
power block installation, solar thermal parabolic trough, 50 MW|e61a3931ef3087a5c6308df9410f65b0
electricity, from municipal waste incineration to generic market for electricity, medium voltage|0f2294f4d8483b01918dc5b7989e9b6a
market for furnace, logs, hardwood storage area, 100kW|b393d47d8def0b02ab26b9ea6f2ece3c
irrigation, sprinkler|00b1d866127c01b40c97f176b3422745
market for tissue paper|18de538b2020dcdc2803a2b646a550b1
treatment of waste paint, hazardous waste incineration|713f08bb41b9b5030d7edae65c27f169
market for electricity, high voltage, aluminium industry|232ed4b8aedbc4999201686da6815ae6
treatment of lignite ash, opencast refill|4201df1b39f74b1e719e7083f2c4e470
heat production, air-water heat pump 10kW|2d8052001935af8b6eeb9eeaf85cf677
treatment of waste paperboard, inert material landfill|5b31083218f5c617533ce97e6609e078
nuclear fuel element production, for pressure water reactor, UO2 4.2% centrifuge & MOX|9ca28d2e541a184c0a753401d305a12f
electricity, from municipal waste incineration to generic market for electricity, medium voltage|e38a18d702641c838f0bcd193e266346
market for earth tube heat exchanger, polyethylene, DN 200|ca5ce93c309fa5217ddc8d29ddec1182
land use change, annual crop|4f40180917b1eed652f8f50970b958c5
patagonian grenadier, capture by trawler and landing in fish blocks, frozen|b40d9e41e0aa69753c593328b32e8ceb
market for electricity, medium voltage, aluminium industry|9bd45f5289d31a2e0c6cb73db50e6926
haying, by rotary tedder|62341d4f6f6d514b64276f7c0a14130a
market for electricity, low voltage|03390d5ee523d45a433c771718592b34
uranium production, centrifuge, enriched 3.9%|3da69d9e72b212d3a0a73ca5050d2ba2
alkyd paint production, white, water-based, product in 60% solution state|127dddd609c759733f34da3890b7f366
heat production, hard coal coke, stove 5-15kW|f9fc2537f182db1cb777445e19833c2e
market for silicon, single crystal, Czochralski process, electronics|071327216f33ed724bdc1dad8bb5dc19
land use change, annual crop|cb0c1584e46b1756d54dcefc8ad354d3
concrete production, 20MPa, self-construction, with cement, alternative constituents 45%|e48a7a4ad9120243c669a9cf9296c26a
wheat seed production, Swiss integrated production, for sowing|51c55e3699dc594851e180a38d3a0772
lettuce360 production|d87861ea061a4f7e37cf0ecbe860e11e
market for diesel, burned in fishing vessel|97c38fb4746fe77a00b301f01d4e92c9
plastic flake production, consumer electronics, for recycling, by grinding/shredding, informal sector|ef713b36fb1cd8dac88cc8973e2a386a
tea production, dried|f9fe022b60c790dcfa691ea622fa1183
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|a541ab11c362807e3db3c81c7ee9da12
electricity production, hydro, pumped storage|ff485fd0304e1c61d729c507cdc06334
market for waste polyvinylchloride|d505a55d18492ed982c20477fe22c48e
bulk lead-zinc concentrate to generic markets for zinc concentrate and lead concentrate|0e28101be6d2b3e4d8c4709292ec7588
uranium production, centrifuge, enriched 4.0%|c78b4d150a78ffd1bda3bcd7d26e1939
ethanolamine production|5d8e8900e6c0267f25070c5507297447
mine construction, open cast, steatite|e0ebd32305263ba6581557e460a86769
market for beverage carton converting|4a771ed220278c5303a3ee4e7650baed
electricity production, wind, 1-3MW turbine, onshore|73af051828ba186b939691570785e25f
market group for electricity, low voltage|2294a25e09d6e36fce229469234673db
market for o-cresol|a3fc5ed32a482ec0bc6725429a815d1f
dinitrogen tetroxide production|e0f6b876560afb05e48bd305090a900c
treatment of waste glass, municipal incineration with fly ash extraction|dbd28c8880dbcf6ac1c8958e8025df7c
calcined clay to generic market for supplementary cementitious materials|eaf9c431f94a66cc5cfd48564a0cd5ec
energy and auxilliary inputs, metal working factory, with heating from light fuel oil|33a26d69e608f109bed021623a88cc2c
treatment of tyre wear emissions, passenger car|8996dae21f0011c2db0297729784434e
treatment of waste paperboard, unsorted, sorting|add9bcbd674df56713f31bf4c8f6cafd
market for isobutanol|d954ff85f1f2da1680931b4974002bcf
market group for diesel, low-sulfur|fb0ccbc660f2c9e6b36bb2c605b6b910
electricity production, wind, >3MW turbine, onshore|3d53950ac1cb84571d55acafeab22e02
treatment of waste graphical paper, municipal incineration|12c831ea5476aa1b982b0a12d4018fe8
transport, freight, lorry 16-32 metric ton, EURO6|6ec5fb2a18c09bd4cb8b293fa33b77b5
treatment of low level radioactive waste, surface or trench deposit|eac69abaf981f0404d78f35ceea90b3b
toner production, black, powder|4e7c316b5cb08cf9b686f5e7918ee91d
turpentine to generic market for solvent for paint|b18e21ec041bb499ea3fc27de0ccd327
recultivation, ilmenite mine|5c6ced715be2a7242749014c08dda7a6
maize grain production|27238fa1620634d74478afd976d37acc
electricity production, hydro, run-of-river|8719faff63bbed3f0a8e7dd2a985a739
