name|key
treatment of waste packaging paper, open dump, wet infiltration class (500mm)|55621289b6f66be0a8babd2c6f22988f
market for buttermilk, from cow milk|37738a0cc2e7bbd1a8534fa0cc9f57af
market for waste wood pole, chrome preserved|2917bf80e2d5663632bab7a54a03cb01
waste preparation facility construction|229434d7e5b32f0628440332af44fe38
primary zinc production from concentrate|b1160fce4fc810f6c1105781eb0d8ac1
millet production|66ac2afb23253490513d595726f83759
heat and power co-generation, oil|52bff14a421e4e033d3cf496291f4fa9
market for petrol, unleaded|e85f8b9aab26a40ee0905c68db52de7b
market for transport, freight, lorry >32 metric ton, EURO4|539e7c40490726fc24c4d13dbd32c2c5
market for captan|802bc2db75386a12e3a201a61df4579a
transport, passenger, aircraft, all distances to generic market for transport, passenger, unspecified|f762e98ec9c52827563c4a1d2f44eb99
cerium oxide to generic market for polishing powder|f07ca8a370380516292963f080ab7d8f
heat production, light fuel oil, at industrial furnace 1MW|8a936cb5a94eda7cd069899099b20b84
operation, housing system, cattle, tied|b015b591af18cc3087322f9c45aba774
market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refr(...)_10|2d6c6ffb4ea4237d94e3bfc7e1393344
market for fuel cell, solid oxide, with micro gas turbine, 180kW electrical, future|204d026185165f12b26db28a48dae7f9
catch crop growing, ryegrass, September-April, organic fertiliser 40 kg N, one cut|eeb8dd6370401eccea73fbf7a3fdc564
market for trichloroborane|406c01c5e651f3bdea0aae42b0d0579d
steel turning, primarily roughing, computer numerical controlled|f7395125b191972a3452bcec1cb9f559
electricity production, wind, <1MW turbine, onshore|e61830be42eb508ca33530ca8e3f23bc
treatment of heat carrier liquid, 40% C3H8O2, capacity 1.1E10l/year|bf5c77277e37f41218df204004759ecb
fuel cell production, solid oxide, 125kW electrical, future|745c12a9a74616b3fd7a61c3ee6d5cca
lime production, milled, loose|292b3b48451e9d0513206abaea30b96d
hard coal, import from ID|d8802d8382fee7adc4a4433e8e106ae6
greenhouse construction, glass walls and roof, metal tubes|a54bd00226dab1aaf08d77f2cd184a2e
acrylic acid production|f0add8ebae7dbbc95676d6b184d41903
heat and power co-generation, natural gas, 50kW electrical, lean burn|66f28ca646dadfa9e94943ced966b4dc
market for waste glass sheet|7af8cdfe42edaf4530e939016927ef88
cement cast plaster floor production|0815e2de0748800b7ceaaf83a1962d7f
wood chipping, terrain chipper, diesel|c3a9144b98c2abe51dea27500661f17f
market for dimethylaminopropylamine|1423b1781375fc86f3e0f6cd70e7acce
fishmeal and fish oil production, 63-65% protein, from fish residues|3019f71c1c5d19016fdde9af33fd23a1
market for electricity, medium voltage|b1213ecf4ba6345455bcd14be9b5f408
treatment of waste polyvinylchloride, open dump, hyperarid infiltration class (-250mm)|f0bf297abe44fc6e69b2bca5c7a53caf
corrugated board box production|ed5877242766de330ba34af3a4375225
electricity, high voltage, import from CA-ON|b6115d79fec33ff35abe8831203b0706
electricity, high voltage, import from PA|08374177b6b93c2f4e693da12b1f46fe
electricity production, hard coal|75e7a92b697b49c4e2b04b3c75c060fd
electricity production, oil|18532b59c9d9200e58d5ebeabe6ec106
beet sugar production|8ce490c382a4a534a03eba84354ebdf8
treatment of steel in car shredder residue, municipal incineration with fly ash extraction|a48fd77326359c55ead62114c1445384
market for allyl chloride|19b3b1987bcd84fb4f2d13e597de290a
electricity, high voltage, import from NO|fc2b9c938886a83dd7ea94f4fad763dd
market for wood chips, dry, measured as dry mass|a4ca8fad788966a68656e4dff0183265
treatment of used air filter, central unit, 600 m3/h|c55a5db95c04be0a57644cf559240214
geothermal power plant construction|58ffa9d13d0af8ce4ac710db4da3bde6
exhaust air outlet production, steel/aluminium, 85x365 mm|fb2cf18be2ac3ee851e51d17428008e6
glass wool mat production, without cullet|343e58aa5866d4f381b6494a40ac3caf
electricity, high voltage, import from UA|05521c3c1039531a979b4e30e4ca58d1
market for carbon dioxide, liquid|e3d1a322936d8b8811b027987711ef36
fuel cell production, stack solid oxide, 125kW electrical, future|cbf3099a47e4e36f9a5813cdac7e819d
market for methane, 96% by volume, from biogas, high pressure, at user|1ab3788b5f8e78b562b892dd0d248ca4
